Designator,Mid X,Mid Y,Rotation,Layer
D1,111.66875,-47.4,0.0,top
D2,130.75,-47.4,0.0,top
D3,149.48,-47.4,0.0,top
D4,168.75,-47.4,0.0,top
R1,120.25,-46.85,90.0,top
R2,139.25,-46.85,90.0,top
R3,157.75,-46.94,90.0,top
R4,177.25,-46.94,90.0,top
SW1,111.60125,-59.8225,0.0,top
SW2,130.65125,-59.8225,0.0,top
SW3,149.70125,-59.8225,0.0,top
SW4,168.75125,-59.8225,0.0,top
U1,185.13,-61.98,180.0,bottom
